policy,threshold,approved,approval_rate,realized_npv,mean_realized_npv_approved,observed_default_rate_approved,overlap_with_current_decisions
decomp_plus_profit_support_0.12,0.024999999999999994,2073,0.8126225009800079,3748535.028316143,1808.2658120193646,0.08393632416787265,0.9741277930223442
decomp_plus_profit_support_0.12,0.02517350332647858,2073,0.8126225009800079,3748535.028316143,1808.2658120193646,0.08393632416787265,0.9741277930223442
blend_decomp_direct_hgb_0.2,0.015,1944,0.7620540964327714,3747880.2673426666,1927.9219482215362,0.07510288065843622,0.9721677773422187
blend_decomp_direct_hgb_0.7,-0.017474426856533474,2175,0.8526068208545668,3746160.2274900335,1722.3725183862223,0.09241379310344827,0.9357114856918856
blend_decomp_direct_hgb_0.3,-0.0073275071094370346,2108,0.8263426107408859,3746158.046288534,1777.1148227175208,0.0872865275142315,0.9635437083496668
decomp_plus_profit_support_0.10,0.04516520705715084,1920,0.7526460211681694,3745754.3448269498,1950.9137212640364,0.07239583333333334,0.9627597020776166
decomp_plus_profit_support_0.10,0.044999999999999984,1920,0.7526460211681694,3745754.3448269498,1950.9137212640364,0.07239583333333334,0.9627597020776166
decomp_plus_profit_support_0.10,0.013898473360261574,2109,0.826734613876911,3745539.6403445527,1775.9789664981283,0.08724513987671882,0.9631517052136417
direct_margin_ridge,-0.015,1984,0.777734221873775,3745511.822506704,1887.8587815053952,0.07963709677419355,0.9345354762838103
blend_decomp_direct_hgb_0.6,0.024999999999999994,1880,0.7369658957271659,3745424.011931752,1992.2468148573148,0.07127659574468086,0.9400235201881615
blend_decomp_direct_hgb_0.1,-0.010000000000000009,2117,0.8298706389651117,3745300.8497244194,1769.1548652453564,0.08786017949929145,0.960015680125441
decomp_plus_profit_support_0.06,0.009999999999999995,2078,0.8145825166601333,3745023.0643759333,1802.2247663021815,0.0846968238691049,0.9753038024304195
blend_decomp_direct_hgb_0.2,-0.0073275071094370346,2102,0.8239905919247354,3744424.5501748356,1781.3627736321769,0.08658420551855375,0.9658957271658173
decomp_plus_profit_support_0.10,0.01999999999999999,2075,0.813406507252058,3744044.833781153,1804.35895603911,0.08433734939759036,0.9749117992943943
decomp_plus_profit_support_0.02,-0.0050000000000000044,2107,0.8259506076048608,3743708.93568341,1776.79588784215,0.08732795443758899,0.9639357114856919
blend_decomp_direct_hgb_0.8,-0.017474426856533474,2185,0.8565268522148177,3742632.176344578,1712.8751379151388,0.09336384439359267,0.9310074480595845
blend_decomp_direct_hgb_0.9,-0.017474426856533474,2190,0.8584868678949431,3742149.5522552007,1708.744087787763,0.09406392694063927,0.9282634261074089
direct_margin_hgb_squared,0.029675801359672106,1881,0.7373578988631909,3741737.765464206,1989.2279454886796,0.07123870281765018,0.9255194041552333
decomp_plus_profit_support_0.02,0.018996887091860808,1944,0.7620540964327714,3741646.8158910833,1924.715440273191,0.07458847736625514,0.9721677773422187
blend_decomp_direct_hgb_0.5,0.024999999999999994,1874,0.7346138769110153,3741152.1707033264,1996.345875508712,0.07097118463180363,0.9408075264602117
blend_decomp_direct_hgb_0.5,0.02517350332647858,1874,0.7346138769110153,3741152.1707033264,1996.345875508712,0.07097118463180363,0.9408075264602117
blend_decomp_direct_hgb_0.1,0.009999999999999995,1981,0.7765582124656997,3741074.9087337516,1888.477995322439,0.07824331145885917,0.986671893375147
decomp_plus_profit_support_0.08,0.03939048505400646,1917,0.7514700117600941,3740857.0709664365,1951.4121392626168,0.07198748043818466,0.9615836926695414
direct_margin_ridge,-0.045000000000000005,2189,0.858094864758918,3740593.5649379333,1708.8138716025278,0.09639104613978985,0.9215993727949824
blend_decomp_direct_hgb_0.2,0.01999999999999999,1902,0.7455899647197177,3740539.611155332,1966.6349164854532,0.07150368033648791,0.955703645629165
blend_decomp_direct_hgb_0.9,0.02517350332647858,1916,0.751078008624069,3740510.775048773,1952.2498825933053,0.07359081419624217,0.9392395139161114
direct_margin_ridge,-0.035,2135,0.8369266954135633,3740362.2719106507,1751.9261226747778,0.08992974238875878,0.9325754606036848
decomposed_margin,-0.010000000000000009,2112,0.8279106232849863,3740325.2198976665,1770.9873200273041,0.08759469696969698,0.9619756958055664
blend_decomp_direct_hgb_0.9,0.024999999999999994,1917,0.7514700117600941,3739823.4797070585,1950.8729680266347,0.07407407407407407,0.9396315170521364
decomp_plus_profit_support_0.04,0.024999999999999994,1942,0.7612700901607213,3739679.4202902187,1925.6845624563432,0.07466529351184346,0.9713837710701686
decomp_plus_profit_support_0.02,0.013898473360261574,1987,0.7789102312818502,3739565.255293986,1882.0157298912864,0.07951685958731756,0.9890239121912975
